,,,t,theta (rad),θ,frame
,,,0.00E+00,0.2245229947,1.29E+01,8.92E+03
,,,8.74E+00,0.1924307531,1.10E+01,9.97E+03
,,,1.64E+01,0.1687973893,9.67E+00,1.09E+04
,,,2.40E+01,0.1463484234,8.39E+00,1.18E+04
,,,3.16E+01,0.1267099263,7.26E+00,1.27E+04
,,,3.93E+01,0.1100565356,6.31E+00,1.36E+04
,,,4.91E+01,0.0916860726,5.25E+00,1.48E+04
,,,5.77E+01,0.07876583648,4.51E+00,1.59E+04
,,,6.64E+01,0.06557531867,3.76E+00,1.69E+04
,,,7.40E+01,0.05732080143,3.28E+00,1.78E+04
,,,8.27E+01,0.04897489874,2.81E+00,1.88E+04
,,,9.13E+01,0.04092468974,2.34E+00,1.99E+04
,,,9.78E+01,0.03678230784,2.11E+00,2.07E+04
