t actual,theta (rad),,frame,t actual,θ,theta (rad),l (cm)
0.00E+00,0.1712427003,,1.18E+03,0.00E+00,9.81E+00,0.1712427003,36.5
7.28E+00,0.1561783621,,2.05E+03,7.28E+00,8.95E+00,0.1561783621,
9.71E+00,0.1520327164,,2.34E+03,9.71E+00,8.71E+00,0.1520327164,
1.82E+01,0.133561513,,3.36E+03,1.82E+01,7.65E+00,0.133561513,
2.43E+01,0.1211363046,,4.09E+03,2.43E+01,6.94E+00,0.1211363046,
3.03E+01,0.1115774679,,4.81E+03,3.03E+01,6.39E+00,0.1115774679,
4.24E+01,0.09488421392,,6.27E+03,4.24E+01,5.44E+00,0.09488421392,
5.57E+01,0.07895878263,,7.86E+03,5.57E+01,4.52E+00,0.07895878263,
6.90E+01,0.06612883239,,9.46E+03,6.90E+01,3.79E+00,0.06612883239,
8.59E+01,0.05275381583,,1.15E+04,8.59E+01,3.02E+00,0.05275381583,
