time (s),amplitude (rad)
0.00E+00,0.2647404421
3.28E+00,0.2524671123
7.65E+00,0.2342429078
1.20E+01,0.2167657043
1.64E+01,0.199681898
1.97E+01,0.1868149817
2.40E+01,0.1728920539
2.84E+01,0.1495720814
3.27E+01,0.1395934232
3.71E+01,0.1354568358
4.03E+01,0.1269935249
4.47E+01,0.1137701774
4.58E+01,0.1126425551
4.79E+01,0.1106420936
5.12E+01,0.1026137187
5.34E+01,0.09836326598
5.77E+01,0.09133601191
6.20E+01,0.08302321812
6.64E+01,0.07483910746
7.07E+01,0.06999590605
7.40E+01,0.06485435806
7.83E+01,0.06041286164
8.26E+01,0.05389496445
8.70E+01,0.05048043721
9.02E+01,0.04437358252
9.56E+01,0.03884706725
9.99E+01,0.03736072741
1.03E+02,0.03414183412
1.07E+02,0.03021971277
1.12E+02,0.02713271402
1.16E+02,0.02516234201
1.20E+02,0.02275696414
1.25E+02,0.01833442199
1.28E+02,0.01831717814
1.37E+02,0.01345779055
1.45E+02,0.01338838928
1.54E+02,0.01268155885
1.61E+02,0.01045961509
1.70E+02,0.008255196177
